CommuneISPF;CommuneAvecParentheses
120;Arue
141;Anau (Bora Bora)
142;Faanui (Bora Bora)
143;Nunue (Bora Bora)
150;Faaa
221;Hitiaa O Te Ra
222;Mahaena (Hitiaa O Te Ra)
223;Papenoo (Hitiaa O Te Ra)
224;Tiarei (Hitiaa O Te Ra)
231;Atuona (Hiva Oa)
232;Puamau (Hiva Oa)
241;Faie (Huahine)
242;Fare (Huahine)
243;Fitii (Huahine)
244;Haapu (Huahine)
245;Maeva (Huahine)
246;Maroe (Huahine)
247;Parea (Huahine)
248;Tefarerii (Huahine)
250;Mahina
291;Afareaitu (Moorea-Maiao)
292;Haapiti (Moorea-Maiao)
294;Paopao (Moorea-Maiao)
295;Papetoai (Moorea-Maiao)
296;Teavaro (Moorea-Maiao)
311;Hatiheu (Nuku Hiva)
312;Taiohae (Nuku Hiva)
313;Taipivai (Nuku Hiva)
330;Paea
340;Papara
350;Papeete
360;Pirae
380;Punaauia
391;Anatonu (Raivavae)
392;Rairua-Mahanatoa (Raivavae)
393;Vaiuru (Raivavae)
431;Amaru (Rimatara)
432;Anapoto (Rimatara)
433;Mutuaura (Rimatara)
441;Avera (Rurutu)
442;Hauti (Rurutu)
443;Moerai (Rurutu)
451;Faaaha (Tahaa)
452;Haamene (Tahaa)
453;Hipu (Tahaa)
454;Iripau (Tahaa)
455;Niua (Tahaa)
456;Ruutia (Tahaa)
457;Tapuamu (Tahaa)
458;Vaitoare (Tahaa)
471;Afaahiti (Taiarapu-Est)
472;Faaone (Taiarapu-Est)
473;Pueu (Taiarapu-Est)
474;Tautira (Taiarapu-Est)
481;Teahupoo (Taiarapu-Ouest)
482;Toahotu (Taiarapu-Ouest)
483;Vairao (Taiarapu-Ouest)
501;Avera (Taputapuatea)
502;Opoa (Taputapuatea)
503;Puohine (Taputapuatea)
521;Mataiea (Teva I Uta)
522;Papeari (Teva I Uta)
531;Mahu (Tubuai)
532;Mataura (Tubuai)
533;Taahuaia (Tubuai)
541;Fetuna (Tumaraa)
542;Tehurui (Tumaraa)
543;Tevaitoa (Tumaraa)
544;Vaiaau (Tumaraa)
571;Hakahau (Ua Pou)
572;Hakamaii (Ua Pou)
580;Uturoa
