IleISPF;Ile;Subdivision
1;Ahe;Tuamotu-Gambier
2;Ahunui;Tuamotu-Gambier
3;Akamaru;Tuamotu-Gambier
4;Akiaki;Tuamotu-Gambier
5;Amanu;Tuamotu-Gambier
6;Anaa;Tuamotu-Gambier
7;Angakauitai;Tuamotu-Gambier
8;Anuanuraro;Tuamotu-Gambier
9;Anuanurunga;Tuamotu-Gambier
10;Apataki;Tuamotu-Gambier
11;Aratika;Tuamotu-Gambier
12;Arutua;Tuamotu-Gambier
13;Aukena;Tuamotu-Gambier
14;Bora Bora;Iles Sous-Le-Vent
15;Eiao;Marquises
16;Faaite;Tuamotu-Gambier
17;Fakahina;Tuamotu-Gambier
18;Fakarava;Tuamotu-Gambier
19;Fangatau;Tuamotu-Gambier
20;Fangataufa;Tuamotu-Gambier
21;Fatu Hiva;Marquises
22;Fatu Huku;Marquises
23;Hao;Tuamotu-Gambier
24;Haraiki;Tuamotu-Gambier
25;Hatu Iti;Marquises
26;Hatutaa;Marquises
27;Hereheretue;Tuamotu-Gambier
28;Hikueru;Tuamotu-Gambier
29;Hiti;Tuamotu-Gambier
30;Hiva Oa;Marquises
31;Huahine;Iles Sous-Le-Vent
32;Kamaka;Tuamotu-Gambier
33;Katiu;Tuamotu-Gambier
34;Kauehi;Tuamotu-Gambier
35;Kaukura;Tuamotu-Gambier
36;Maiao;Iles Du Vent
37;Makaroa;Tuamotu-Gambier
38;Makatea;Tuamotu-Gambier
39;Makemo;Tuamotu-Gambier
40;Mangareva;Tuamotu-Gambier
41;Manihi;Tuamotu-Gambier
42;Manuae (Scilly);Iles Sous-Le-Vent
43;Manuhangi;Tuamotu-Gambier
44;Manui;Tuamotu-Gambier
45;Maria (Australes);Australes
46;Maria (Gambier);Tuamotu-Gambier
47;Marokau;Tuamotu-Gambier
48;Marotiri;Australes
49;Marutea Nord;Tuamotu-Gambier
50;Marutea Sud;Tuamotu-Gambier
51;Mataiva;Tuamotu-Gambier
52;Maturei Vavao;Tuamotu-Gambier
53;Maupihaa (Mopelia);Iles Sous-Le-Vent
54;Maupiti;Iles Sous-Le-Vent
55;Mehetia;Iles Du Vent
56;Mohotani;Marquises
57;Moorea;Iles Du Vent
58;Morane;Tuamotu-Gambier
59;Moruroa;Tuamotu-Gambier
60;Motu One (Marquises);Marquises
61;Motu One (Bellinghausen);Iles Sous-Le-Vent
62;Motutunga;Tuamotu-Gambier
63;Napuka;Tuamotu-Gambier
64;Nengonengo;Tuamotu-Gambier
65;Niau;Tuamotu-Gambier
66;Nihiru;Tuamotu-Gambier
67;Nuku Hiva;Marquises
68;Nukutavake;Tuamotu-Gambier
69;Nukutepipi;Tuamotu-Gambier
70;Paraoa;Tuamotu-Gambier
71;Pinaki;Tuamotu-Gambier
72;Pukapuka;Tuamotu-Gambier
73;Pukarua;Tuamotu-Gambier
74;Raiatea;Iles Sous-Le-Vent
75;Raivavae;Australes
76;Rangiroa;Tuamotu-Gambier
77;Rapa;Australes
78;Raraka;Tuamotu-Gambier
79;Raroia;Tuamotu-Gambier
80;Ravahere;Tuamotu-Gambier
81;Reao;Tuamotu-Gambier
82;Reitoru;Tuamotu-Gambier
83;Rekareka;Tuamotu-Gambier
84;Rimatara;Australes
85;Rocher Thomasset;Marquises
86;Rurutu;Australes
87;Taenga;Tuamotu-Gambier
88;Tahaa;Iles Sous-Le-Vent
89;Tahanea;Tuamotu-Gambier
90;Tahiti;Iles Du Vent
91;Tahuata;Marquises
92;Taiaro;Tuamotu-Gambier
93;Takapoto;Tuamotu-Gambier
94;Takaroa;Tuamotu-Gambier
95;Takume;Tuamotu-Gambier
96;Taravai;Tuamotu-Gambier
97;Tatakoto;Tuamotu-Gambier
98;Tauere;Tuamotu-Gambier
99;Tekokota;Tuamotu-Gambier
100;Tematangi;Tuamotu-Gambier
101;Temoe;Tuamotu-Gambier
102;Tenararo;Tuamotu-Gambier
103;Tenarunga;Tuamotu-Gambier
104;Tepoto Nord;Tuamotu-Gambier
105;Tepoto Sud;Tuamotu-Gambier
106;Tetiaroa;Iles Du Vent
107;Tikehau;Tuamotu-Gambier
108;Tikei;Tuamotu-Gambier
109;Toau;Tuamotu-Gambier
110;Tuanake;Tuamotu-Gambier
111;Tubuai;Australes
112;Tupai;Iles Sous-Le-Vent
113;Tureia;Tuamotu-Gambier
114;Ua Huka;Marquises
115;Ua Pou;Marquises
116;Vahanga;Tuamotu-Gambier
117;Vahitahi;Tuamotu-Gambier
118;Vairaatea;Tuamotu-Gambier
119;Vanavana;Tuamotu-Gambier
