IleUnique;CommuneUnique
Rapa;Rapa
Marotiri;Rapa
Mehetia;Tautira (Taiarapu-Est)
Maiao;Maiao (Moorea-Maiao)
Tetiaroa;Arue
Tupai;Nunue (Bora Bora)
Maupiti;Maupiti
Maupihaa (Mopelia);Maupiti
Manuae (Scilly);Maupiti
Motu One (Bellinghausen);Maupiti
Ua Huka;Ua Huka
Tahuata;Tahuata
Eiao;Taiohae (Nuku Hiva)
Hatu Iti;Taiohae (Nuku Hiva)
Hatutaa;Taiohae (Nuku Hiva)
Motu One (Marquises);Taiohae (Nuku Hiva)
Mohotani;Atuona (Hiva Oa)
Fatu Huku;Puamau (Hiva Oa)
Fatu Hiva;Fatu Hiva
Rocher Thomasset;Fatu Hiva
Akamaru;Gambier
Angakauitai;Gambier
Aukena;Gambier
Kamaka;Gambier
Makaroa;Gambier
Mangareva;Gambier
Manui;Gambier
Maria (Gambier);Gambier
Marutea Sud;Gambier
Maturei Vavao;Gambier
Morane;Gambier
Taravai;Gambier
Temoe;Gambier
Tenararo;Gambier
Tenarunga;Gambier
Vahanga;Gambier
Amanu;Amanu (Hao)
Rekareka;Amanu (Hao)
Tauere;Amanu (Hao)
Hao;Hao
Ahunui;Hao
Nengonengo;Hao
Manuhangi;Hao
Paraoa;Hao
Hereheretue;Hereheretue (Hao)
Anuanuraro;Hereheretue (Hao)
Anuanurunga;Hereheretue (Hao)
Nukutepipi;Hereheretue (Hao)
Hikueru;Hikueru
Reitoru;Hikueru
Tekokota;Hikueru
Marokau;Marokau (Hikueru)
Ravahere;Marokau (Hikueru)
Fakarava;Fakarava
Toau;Fakarava
Kauehi;Kauehi (Fakarava)
Aratika;Kauehi (Fakarava)
Raraka;Kauehi (Fakarava)
Taiaro;Kauehi (Fakarava)
Niau;Niau (Fakarava)
Fakahina;Fakahina (Fangatau)
Fangatau;Fangatau
Apataki;Apataki (Arutua)
Arutua;Arutua
Kaukura;Kaukura (Arutua)
Anaa;Anaa
Faaite;Faaite (Anaa)
Motutunga;Faaite (Anaa)
Tahanea;Faaite (Anaa)
Nukutavake;Nukutavake
Pinaki;Nukutavake
Vahitahi;Vahitahi (Nukutavake)
Akiaki;Vahitahi (Nukutavake)
Vairaatea;Vairaatea (Nukutavake)
Napuka;Napuka
Tepoto Nord;Tepoto Nord (Napuka)
Katiu;Katiu (Makemo)
Hiti;Katiu (Makemo)
Tepoto Sud;Katiu (Makemo)
Tuanake;Katiu (Makemo)
Makemo;Makemo
Haraiki;Makemo
Marutea Nord;Makemo
Raroia;Raroia (Makemo)
Takume;Raroia (Makemo)
Taenga;Taenga (Makemo)
Nihiru;Taenga (Makemo)
Ahe;Ahe (Manihi)
Manihi;Manihi
Takapoto;Takapoto (Takaroa)
Takaroa;Takaroa
Tikei;Takaroa
Pukapuka;Pukapuka
Makatea;Makatea (Rangiroa)
Mataiva;Mataiva (Rangiroa)
Rangiroa;Rangiroa
Tikehau;Tikehau (Rangiroa)
Tatakoto;Tatakoto
Pukarua;Pukarua (Reao)
Reao;Reao
Tureia;Tureia
Fangataufa;Tureia
Moruroa;Tureia
Tematangi;Tureia
Vanavana;Tureia
